piece_id,flags
114,rulebook_setup_reviewed
116,rulebook_setup_reviewed
117,rulebook_setup_reviewed
118,rulebook_setup_reviewed
120,rulebook_setup_reviewed
122,rulebook_setup_reviewed
123,rulebook_setup_reviewed
124,rulebook_setup_reviewed
125,rulebook_setup_reviewed
126,rulebook_setup_reviewed
127,rulebook_setup_reviewed
128,rulebook_setup_reviewed
129,rulebook_setup_reviewed
130,rulebook_setup_reviewed
131,rulebook_setup_reviewed
132,rulebook_setup_reviewed
133,rulebook_setup_reviewed
134,rulebook_setup_reviewed
135,rulebook_setup_reviewed
136,rulebook_setup_reviewed
137,rulebook_setup_reviewed
138,rulebook_setup_reviewed
140,rulebook_setup_reviewed
149,rulebook_setup_reviewed
150,rulebook_setup_reviewed
151,rulebook_setup_reviewed
154,rulebook_setup_reviewed
156,rulebook_setup_reviewed
157,rulebook_setup_reviewed
158,rulebook_setup_reviewed
159,rulebook_setup_reviewed
160,rulebook_setup_reviewed
161,rulebook_setup_reviewed
163,rulebook_setup_reviewed
164,rulebook_setup_reviewed
165,rulebook_setup_reviewed
166,rulebook_setup_reviewed
167,rulebook_setup_reviewed
168,rulebook_setup_reviewed
169,rulebook_setup_reviewed
170,rulebook_setup_reviewed
171,rulebook_setup_reviewed
172,rulebook_setup_reviewed
173,rulebook_setup_reviewed
174,rulebook_setup_reviewed
177,rulebook_setup_reviewed
176,rulebook_setup_reviewed
178,rulebook_setup_reviewed
181,rulebook_setup_reviewed
182,rulebook_setup_reviewed
183,rulebook_setup_reviewed
184,rulebook_setup_reviewed
185,rulebook_setup_reviewed
187,rulebook_setup_reviewed
189,rulebook_setup_reviewed
190,rulebook_setup_reviewed
194,rulebook_setup_reviewed
195,rulebook_setup_reviewed
196,rulebook_setup_reviewed
197,rulebook_setup_reviewed
198,rulebook_setup_reviewed
199,rulebook_setup_reviewed
200,rulebook_setup_reviewed
201,rulebook_setup_reviewed
247,rulebook_setup_reviewed
202,rulebook_setup_reviewed
203,rulebook_setup_reviewed
204,rulebook_setup_reviewed
205,rulebook_setup_reviewed
207,rulebook_setup_reviewed
208,rulebook_setup_reviewed
209,rulebook_setup_reviewed
210,rulebook_setup_reviewed
212,rulebook_setup_reviewed
222,rulebook_setup_reviewed
214,rulebook_setup_reviewed
215,rulebook_setup_reviewed
216,rulebook_setup_reviewed
218,rulebook_setup_reviewed
219,rulebook_setup_reviewed
223,rulebook_setup_reviewed
224,rulebook_setup_reviewed
225,rulebook_setup_reviewed
226,rulebook_setup_reviewed
227,rulebook_setup_reviewed
232,rulebook_setup_reviewed
233,rulebook_setup_reviewed
234,rulebook_setup_reviewed
235,rulebook_setup_reviewed
236,rulebook_setup_reviewed
237,rulebook_setup_reviewed
238,rulebook_setup_reviewed
242,rulebook_setup_reviewed
243,rulebook_setup_reviewed
244,rulebook_setup_reviewed
245,rulebook_setup_reviewed
246,rulebook_setup_reviewed
401,vassal_pool;needs_review
402,vassal_pool;needs_review
403,vassal_pool;needs_review
404,vassal_pool;needs_review
405,vassal_pool;needs_review
413,vassal_pool;needs_review
414,vassal_pool;needs_review
415,vassal_pool;needs_review
419,vassal_pool;needs_review
420,vassal_pool;needs_review
421,vassal_pool;needs_review
422,vassal_pool;needs_review
423,vassal_pool;needs_review
424,vassal_pool;needs_review
425,vassal_pool;needs_review
426,vassal_pool;needs_review
427,vassal_pool;needs_review
428,vassal_pool;needs_review
429,vassal_pool;needs_review
430,vassal_pool;needs_review
431,vassal_pool;needs_review
432,vassal_pool;needs_review
433,vassal_pool;needs_review
434,vassal_pool;needs_review
435,vassal_pool;needs_review
436,vassal_pool;needs_review
556,vassal_pool;needs_review
437,vassal_pool;needs_review
440,vassal_pool;needs_review
444,vassal_pool;needs_review
445,vassal_pool;needs_review
446,vassal_pool;needs_review
447,vassal_pool;needs_review
448,vassal_pool;needs_review
449,vassal_pool;needs_review
451,vassal_pool;needs_review
452,vassal_pool;needs_review
453,vassal_pool;needs_review
454,vassal_pool;needs_review
455,vassal_pool;needs_review
456,vassal_pool;needs_review
457,vassal_pool;needs_review
459,vassal_pool;needs_review
460,vassal_pool;needs_review
461,vassal_pool;needs_review
462,vassal_pool;needs_review
465,vassal_pool;needs_review
466,vassal_pool;needs_review
467,vassal_pool;needs_review
468,vassal_pool;needs_review
469,vassal_pool;needs_review
474,vassal_pool;needs_review
475,vassal_pool;needs_review
476,vassal_pool;needs_review
477,vassal_pool;needs_review
478,vassal_pool;needs_review
483,vassal_pool;needs_review
484,vassal_pool;needs_review
485,vassal_pool;needs_review
486,vassal_pool;needs_review
487,vassal_pool;needs_review
488,vassal_pool;needs_review
489,vassal_pool;needs_review
490,vassal_pool;needs_review
491,vassal_pool;needs_review
559,vassal_pool;needs_review
492,vassal_pool;needs_review
496,vassal_pool;needs_review
497,vassal_pool;needs_review
500,vassal_pool;needs_review
501,vassal_pool;needs_review
502,vassal_pool;needs_review
560,vassal_pool;needs_review
561,vassal_pool;needs_review
562,vassal_pool;needs_review
563,vassal_pool;needs_review
564,vassal_pool;needs_review
518,vassal_pool;needs_review
565,vassal_pool;needs_review
571,vassal_pool;needs_review
572,vassal_pool;needs_review
573,vassal_pool;needs_review
574,vassal_pool;needs_review
575,vassal_pool;needs_review
576,vassal_pool;needs_review
577,vassal_pool;needs_review
578,vassal_pool;needs_review
579,vassal_pool;needs_review
580,vassal_pool;needs_review
581,vassal_pool;needs_review
