id,name,x,y,w,h,kind,nation,side,terrain,urban,vp,fort,supply,port,resource,capital,wehrkreis,attack_requires_event,beach_letter
1,Beachhead C,442,551,54,53,beach,sea,neutral,,false,,false,,false,,false,,,C
2,Cherbourg,142,793,59,58,land,fr,axis,forest,false,,false,,false,,false,,
3,Caen,217,807,61,62,land,fr,axis,forest,false,,false,,false,,false,,
4,Rennes,152,886,59,59,land,fr,axis,clear,false,,false,,false,,false,,
5,Nantes,146,975,57,58,land,fr,axis,clear,false,,false,,false,,false,,
6,Brest,44,875,56,59,land,fr,axis,clear,false,1,true,,false,,false,,
7,Bordeaux,197,1116,62,59,land,fr,axis,clear,false,1,false,,false,,false,,
8,Beachhead H,82,805,48,48,beach,sea,neutral,,false,,false,,false,,false,,,H
9,Toulouse,283,1201,62,60,land,fr,neutral,clear,false,,false,,false,,false,,
10,Le Mans,255,881,59,58,land,fr,axis,clear,false,,false,,false,,false,,
11,Le Havre,293,774,59,61,land,fr,axis,clear,false,,false,,false,,false,,
12,Beachhead G,229,742,45,45,beach,sea,neutral,,false,,false,,false,,false,,,G
13,Beachhead F,170,725,46,44,beach,sea,neutral,,false,,false,,false,,false,,,F
14,Orleans,323,937,58,61,land,fr,axis,clear,false,,false,,false,,false,,
15,Paris,354,848,60,62,land,fr,axis,clear,false,1,false,,false,,false,,
16,Beachhead D,267,700,43,43,beach,sea,neutral,,false,,false,,false,,false,,,D
17,Calais,347,696,61,59,land,fr,axis,clear,false,,false,,false,,false,,
18,Beachhead A,462,149,50,50,beach,sea,neutral,,false,,false,,false,,false,,,A
19,Ardennes,526,712,60,59,land,be,axis,forest,false,,false,,false,,false,,
20,Narbonne,368,1244,60,59,land,fr,neutral,clear,false,,false,,false,,false,,
21,Poitiers,232,964,59,58,land,fr,axis,clear,false,,false,,false,,false,,
22,Nevers,391,1016,60,57,land,fr,neutral,clear,false,,false,,false,,false,,
23,Lyon,466,1084,59,59,land,fr,neutral,clear,false,,false,,false,,false,,
24,Limoges,298,1068,62,58,land,fr,neutral,clear,false,,false,,false,,false,,
25,Marseille,491,1209,57,59,land,fr,neutral,clear,false,1,false,,false,,false,,
26,Messina,986,1574,59,60,land,it,axis,mountain,false,,false,,false,,false,,
27,Grenoble,541,1103,56,56,land,fr,neutral,mountain,false,,false,,false,,false,,
28,Dijon,470,988,59,57,land,fr,axis,clear,false,,false,,false,,false,,
29,Troyes,431,903,61,58,land,fr,axis,clear,false,,false,,false,,false,,
30,Saar,586,799,60,59,land,ge,axis,forest,false,1,false,,false,,false,S,
31,Stavanger,532,198,56,57,land,no,axis,mountain,false,,false,,false,,false,,
32,Antwerp,437,659,57,60,land,be,axis,clear,false,1,false,allied_scheldt,false,,false,,
33,Trondheim,531,13,57,58,land,no,axis,mountain,false,,false,,false,,false,,
34,Reims,431,756,59,59,land,fr,axis,clear,false,,false,,false,,false,,
35,Beachhead E,366,626,50,50,beach,sea,neutral,,false,,false,,false,,false,,,E
36,Belfort,559,938,60,58,land,fr,axis,mountain,false,,false,,false,,false,,
37,Turin,621,1107,56,56,land,it,axis,mountain,false,,false,,false,,false,,
38,Beachhead B,462,64,53,50,beach,sea,neutral,,false,,false,,false,,false,,,B
39,Beachhead I,69,987,51,51,beach,sea,neutral,,false,,false,,false,,false,,,I
40,Metz,505,862,59,61,land,fr,axis,forest,false,,false,,false,,false,,
41,Holland,518,565,60,57,land,nl,axis,swamp,false,1,false,,false,,false,,
42,Oslo,761,151,57,60,land,no,axis,clear,false,1,false,,true,,true,,
43,Beachhead J,562,1261,50,50,beach,sea,neutral,,false,,false,,false,,false,,,J
44,Frankfurt,681,777,56,53,land,ge,axis,clear,false,,false,,false,,false,XII,
45,Oldenburg,628,532,57,60,land,ge,axis,clear,false,,false,,false,,false,,
46,Stuttgart,687,872,60,59,land,ge,axis,forest,false,,false,,false,,false,V,
47,Jutland,658,374,61,58,land,dk,axis,clear,false,,false,,false,,false,,
48,Hamburg,731,517,57,56,land,ge,axis,clear,false,1,false,,true,,false,X,
49,Kassel,699,696,57,56,land,ge,axis,clear,false,,false,,false,,false,IX,
